WikidataIds,Wrid,RE-WikiRE-Relation,Nrid,RE-NYT-Relation,Wgrid,RE-WebNLG-Relation,Frid,RE-FewRel-Relation,Srid,RE-SemEval-Relation,Grid,RE-Google-Relation,freebase,owl:equivalentProperty
P92,5412,main regulatory text,4412,,3412,,2412,,1412,,413,,,
P1049,5413,worshipped by,4413,,3413,,2413,,1413,,414,,,
P1891,5414,signatory,4414,,3414,,2414,,1414,,415,,,
P913,5415,notation,4415,,3415,,2415,,1415,,416,,,
P669,5416,located on street,4416,,3416,,2416,,1416,,417,,,
P1192,5417,connecting service,4417,,3417,,2417,,1417,,418,,,
P115,5418,home venue,4418,,3418,,2418,,1418,,419,,,
P1191,5419,date of first performance,4419,,3419,,2419,,1419,,420,,,
P725,5420,voice actor,4420,,3420,,2420,,1420,,421,,,
P291,5421,place of publication,4421,,3421,,2421,,1421,,422,,,
P689,5422,afflicts,4422,,3422,,2422,,1422,,423,,,
P629,5423,edition or translation of,4423,,3423,,2423,,1423,,424,,,
P501,5424,enclave within,4424,,3424,,2424,,1424,,425,,,
P770,5425,cause of destruction,4425,,3425,,2425,,1425,,426,,,
P915,5426,filming location,4426,,3426,,2426,,1426,,427,,,
P180,5427,depicts,4427,,3427,,2427,,1427,,428,,,
P2632,5428,place of detention,4428,,3428,,2428,,1428,,429,,,
P87,5429,librettist,4429,,3429,,2429,,1429,,430,,,
P1268,5430,represents,4430,,3430,,2430,,1430,,431,,,
P2512,5431,series spin-off,4431,,3431,,2431,,1431,,432,,,
P1532,5432,country for sport,4432,,3432,,2432,,1432,,433,,,
P611,5433,religious order,4433,,3433,,2433,,1433,,434,,,
P1431,5434,executive producer,4434,,3434,,2434,,1434,,435,,,
P103,5435,native language,4435,,3435,,2435,,1435,,436,,,
P2348,5436,time period,4436,,3436,,2436,,1436,,437,,,
P194,5437,legislative body,4437,,3437,,2437,,1437,,438,,,
P406,5438,soundtrack release,4438,,3438,,2438,,1438,,439,,,
P126,5439,maintained by,4439,,3439,,2439,,1439,,440,,,
P287,5440,designed by,4440,,3440,,2440,,1440,,441,,,
P16,5441,highway system,4441,,3441,,2441,,1441,,442,,,
P414,5442,stock exchange,4442,,3442,,2442,,1442,,443,,,
P114,5443,airline alliance,4443,,3443,,2443,,1443,,444,,,
P286,5444,head coach,4444,,3444,,2444,,1444,,445,,,
P450,5445,astronaut mission,4445,,3445,,2445,,1445,,446,,,
P619,5446,UTC date of spacecraft launch,4446,,3446,,2446,,1446,,447,,,
P533,5447,target,4447,,3447,,2447,,1447,,448,,,
P1196,5448,manner of death,4448,,3448,,2448,,1448,,449,,,
P765,5449,surface played on,4449,,3449,,2449,,1449,,450,,,
P397,5450,parent astronomical body,4450,,3450,,2450,,1450,,451,,,
P1619,5451,date of official opening,4451,,3451,,2451,,1451,,452,,,
P708,5452,diocese,4452,,3452,,2452,,1452,,453,,,
P2293,5453,genetic association,4453,,3453,,2453,,1453,,454,,,
P1074,5454,fictional analog of,4454,,3454,,2454,,1454,,455,,,
P35,5455,head of state,4455,,3455,,2455,,1455,,456,,,
P769,5456,significant drug interaction,4456,,3456,,2456,,1456,,457,,,
P196,5457,minor planet group,4457,,3457,,2457,,1457,,458,,,
P457,5458,foundational text,4458,,3458,,2458,,1458,,459,,,
P500,5459,exclave of,4459,,3459,,2459,,1459,,460,,,
P157,5460,killed by,4460,,3460,,2460,,1460,,461,,,
P1535,5461,used by,4461,,3461,,2461,,1461,,462,,,
P1547,5462,depends on software,4462,,3462,,2462,,1462,,463,,,
P237,5463,coat of arms,4463,,3463,,2463,,1463,,464,,,
P664,5464,organizer,4464,,3464,,2464,,1464,,465,,,
P1038,5465,relative,4465,,3465,,2465,,1465,,466,,,
P408,5466,software engine,4466,,3466,,2466,,1466,,467,,,
P141,5467,IUCN conservation status,4467,,3467,,2467,,1467,,468,,,
P1327,5468,partner in business or sport,4468,,3468,,2468,,1468,,469,,,
P199,5469,business division,4469,,3469,,2469,,1469,,470,,,
P122,5470,basic form of government,4470,,3470,,2470,,1470,,471,,,
P828,5471,has cause,4471,,3471,,2471,,1471,,472,,,
P195,5472,collection,4472,,3472,,2472,,1472,,473,,,
P1081,5473,Human Development Index,4473,,3473,,2473,,1473,,474,,,
P2098,5474,substitute or deputy or replacement of office or officeholder,4474,,3474,,2474,,1474,,475,,,
P609,5475,terminus location,4475,,3475,,2475,,1475,,476,,,
P1995,5476,health specialty,4476,,3476,,2476,,1476,,477,,,
P1560,5477,given name version for other gender,4477,,3477,,2477,,1477,,478,,,
P684,5478,ortholog,4478,,3478,,2478,,1478,,479,,,
P807,5479,separated from,4479,,3479,,2479,,1479,,480,,,
P462,5480,color,4480,,3480,,2480,,1480,,481,,,colour
P411,5481,canonization status,4481,,3481,,2481,,1481,,482,,,
P113,5482,airline hub,4482,,3482,,2482,,1482,,483,,,
P767,5483,contributor to the creative work or subject,4483,,3483,,2483,,1483,,484,,,
P1479,5484,has contributing factor,4484,,3484,,2484,,1484,,485,,,
P618,5485,source of energy,4485,,3485,,2485,,1485,,486,,,
P790,5486,approved by,4486,,3486,,2486,,1486,,487,,,
P1809,5487,choreographer,4487,,3487,,2487,,1487,,488,,,
P1249,5488,time of earliest written record,4488,,3488,,2488,,1488,,489,,,
P1181,5489,numeric value,4489,,3489,,2489,,1489,,490,,,
P729,5490,service entry,4490,,3490,,2490,,1490,,491,,,
P647,5491,drafted by,4491,,3491,,2491,,1491,,492,,,
P111,5492,measured physical quantity,4492,,3492,,2492,,1492,,493,,,
P1336,5493,territory claimed by,4493,,3493,,2493,,1493,,494,,,
P575,5494,time of discovery or invention,4494,,3494,,2494,,1494,,495,,,
P559,5495,terminus,4495,,3495,,2495,,1495,,496,,,
P275,5496,copyright license,4496,,3496,,2496,,1496,,497,,,
P870,5497,instrumentation,4497,,3497,,2497,,1497,,498,,,
P201,5498,lake outflow,4498,,3498,,2498,,1498,,499,,,
P2505,5499,carries,4499,,3499,,2499,,1499,,500,,,
P1382,5500,partially coincident with,4500,,3500,,2500,,1500,,501,,,
P437,5501,distribution format,4501,,3501,,2501,,1501,,502,,,
P344,5502,director of photography,4502,,3502,,2502,,1502,,503,,,
P1312,5503,has facet polytope,4503,,3503,,2503,,1503,,504,,,
P371,5504,presenter,4504,,3504,,2504,,1504,,505,,,
P110,5505,illustrator,4505,,3505,,2505,,1505,,506,,,
P1018,5506,language regulatory body,4506,,3506,,2506,,1506,,507,,,
P134,5507,Other,4507,,3507,,2507,,1507,,508,,,
P183,5508,endemic to,4508,,3508,,2508,,1508,,509,,,
P1302,5509,primary destinations,4509,,3509,,2509,,1509,,510,,,
P2289,5510,venous drainage,4510,,3510,,2510,,1510,,511,,,
P2286,5511,arterial supply,4511,,3511,,2511,,1511,,512,,,
P2341,5512,indigenous to,4512,,3512,,2512,,1512,,513,,,
P1654,5513,wing configuration,4513,,3513,,2513,,1513,,514,,,
P880,5514,CPU,4514,,3514,,2514,,1514,,515,,,
P417,5515,patron saint,4515,,3515,,2515,,1515,,516,,,
P375,5516,space launch vehicle,4516,,3516,,2516,,1516,,517,,,
P66,5517,ancestral home,4517,,3517,,2517,,1517,,518,,,
P189,5518,location of discovery,4518,,3518,,2518,,1518,,519,,,
P516,5519,power source,4519,,3519,,2519,,1519,,520,,,
P1990,5520,species kept,4520,,3520,,2520,,1520,,521,,,
P826,5521,tonality,4521,,3521,,2521,,1521,,522,,,
P832,5522,public holiday,4522,,3522,,2522,,1522,,523,,,
P567,5523,underlies,4523,,3523,,2523,,1523,,524,,,
P21,5524,sex or gender,4524,,3524,,2524,,1524,,525,,,
P1478,5525,has immediate cause,4525,,3525,,2525,,1525,,526,,,
P1322,5526,dual to,4526,,3526,,2526,,1526,,527,,,
P1962,5527,Other,4527,,3527,,2527,,1527,,528,,,
P1383,5528,contains settlement,4528,,3528,,2528,,1528,,529,,,
P2633,5529,geography of topic,4529,,3529,,2529,,1529,,530,,,
P522,5530,type of orbit,4530,,3530,,2530,,1530,,531,,,
P553,5531,website account on,4531,,3531,,2531,,1531,,532,,,
P1420,5532,taxon synonym,4532,,3532,,2532,,1532,,533,,,
P2546,5533,sidekick of,4533,,3533,,2533,,1533,,534,,,
P1050,5534,medical condition,4534,,3534,,2534,,1534,,535,,,
P1462,5535,standards body,4535,,3535,,2535,,1535,,536,,,
P469,5536,lakes on river,4536,,3536,,2536,,1536,,537,,,
P768,5537,electoral district,4537,,3537,,2537,,1537,,538,,,
P523,5538,temporal range start,4538,,3538,,2538,,1538,,539,,,
P163,5539,flag,4539,,3539,,2539,,1539,,540,,,
P703,5540,found in taxon,4540,,3540,,2540,,1540,,541,,,
P1313,5541,office held by head of government,4541,,3541,,2541,,1541,,542,,,
P610,5542,highest point,4542,,3542,,2542,,1542,,543,,,
P1389,5543,product certification,4543,,3543,,2543,,1543,,544,,,
P547,5544,commemorates,4544,,3544,,2544,,1544,,545,,,
P1072,5545,readable file format,4545,,3545,,2545,,1545,,546,,,
P780,5546,symptoms and signs,4546,,3546,,2546,,1546,,547,,,
P1574,5547,exemplar of,4547,,3547,,2547,,1547,,548,,,
P2152,5548,antiparticle,4548,,3548,,2548,,1548,,549,,,
P1158,5549,location of landing,4549,,3549,,2549,,1549,,550,,,
P421,5550,located in time zone,4550,,3550,,2550,,1550,,551,,,
P88,5551,commissioned by,4551,,3551,,2551,,1551,,552,,,
P467,5552,legislated by,4552,,3552,,2552,,1552,,553,,,
P1363,5553,points or goal scored by,4553,,3553,,2553,,1553,,554,,,
P1040,5554,film editor,4554,,3554,,2554,,1554,,555,,,
P1811,5555,list of episodes,4555,,3555,,2555,,1555,,556,,,
P512,5556,academic degree,4556,,3556,,2556,,1556,,557,,,
P1308,5557,officeholder,4557,,3557,,2557,,1557,,558,,,
P1885,5558,cathedral,4558,,3558,,2558,,1558,,559,,,
P1434,5559,takes place in fictional universe,4559,,3559,,2559,,1559,,560,,,
P1557,5560,manifestation of,4560,,3560,,2560,,1560,,561,,,
P1064,5561,track gauge,4561,,3561,,2561,,1561,,562,,,
P1414,5562,GUI toolkit or framework,4562,,3562,,2562,,1562,,563,,,
P688,5563,encodes,4563,,3563,,2563,,1563,,564,,,
P655,5564,translator,4564,,3564,,2564,,1564,,565,,,
P1731,5565,Fach,4565,,3565,,2565,,1565,,566,,,
P825,5566,dedicated to,4566,,3566,,2566,,1566,,567,,,
P1875,5567,represented by,4567,,3567,,2567,,1567,,568,,,
P1165,5568,home world,4568,,3568,,2568,,1568,,569,,,
P1622,5569,driving side,4569,,3569,,2569,,1569,,570,,,
P1906,5570,office held by head of state,4570,,3570,,2570,,1570,,571,,,
P517,5571,interaction,4571,,3571,,2571,,1571,,572,,,
P1433,5572,published in,4572,,3572,,2572,,1572,,573,,,
P399,5573,companion of,4573,,3573,,2573,,1573,,574,,,
P1571,5574,codomain,4574,,3574,,2574,,1574,,575,,,
P868,5575,foods traditionally associated,4575,,3575,,2575,,1575,,576,,,
P927,5576,anatomical location,4576,,3576,,2576,,1576,,577,,,
P788,5577,mushroom ecological type,4577,,3577,,2577,,1577,,578,,,
P209,5578,highest judicial authority,4578,,3578,,2578,,1578,,579,,,
P169,5579,chief executive officer,4579,,3579,,2579,,1579,,580,,,
P1068,5580,instruction set,4580,,3580,,2580,,1580,,581,,,
P2155,5581,solid solution series with,4581,,3581,,2581,,1581,,582,,,
P208,5582,executive body,4582,,3582,,2582,,1582,,583,,,
P885,5583,origin of the watercourse,4583,,3583,,2583,,1583,,584,,,
P1429,5584,has pet,4584,,3584,,2584,,1584,,585,,,
P2079,5585,fabrication method,4585,,3585,,2585,,1585,,586,,,
P620,5586,time of spacecraft landing,4586,,3586,,2586,,1586,,587,,,
P1071,5587,location of creation,4587,,3587,,2587,,1587,,588,,,
P427,5588,taxonomic type,4588,,3588,,2588,,1588,,589,,,
P562,5589,central bank or issuer,4589,,3589,,2589,,1589,,590,,,
P2670,5590,has parts of the class,4590,,3590,,2590,,1590,,591,,,
P730,5591,service retirement,4591,,3591,,2591,,1591,,592,,,
P681,5592,cell component,4592,,3592,,2592,,1592,,593,,,
P972,5593,catalog,4593,,3593,,2593,,1593,,594,,,
P504,5594,home port,4594,,3594,,2594,,1594,,595,,,
P1317,5595,floruit,4595,,3595,,2595,,1595,,596,,,
P612,5596,mother house,4596,,3596,,2596,,1596,,597,,,
P1851,5597,input set,4597,,3597,,2597,,1597,,598,,,
P1531,5598,parent of this hybrid or breed  or cultivar,4598,,3598,,2598,,1598,,599,,,
P91,5599,sexual orientation,4599,,3599,,2599,,1599,,600,,,
P485,5600,archives at,4600,,3600,,2600,,1600,,601,,,
P1455,5601,list of works,4601,,3601,,2601,,1601,,602,,,
P200,5602,inflows,4602,,3602,,2602,,1602,,603,,,
,5603,,,,3603,,,,1603,Cause-Effect,,,,
,5604,,,,3604,inOfficeWhileVicePresident,,,,,,,,
,,,,,3605,party,,,,,,,,
,,,,,3606,successor,,,,,,,,
,,,,,3607,activeYearsEndDate,,,,,,,,
,,,,,3608,inOfficeWhilePrimeMinister,,,,,,,,
,,,,,3609,office_workedAt_workedAs,,,,,,,,
,,,,,3610,activeYearsStartDate,,,,,,,,
,,,,,3611,militaryRank,,,,,,,,
,,,,,3612,serviceStartYear,,,,,,,,
,,,,,3613,militaryBranch,,,,,,,,
,,,,,3614,isPartOfMilitaryConflict,,,,,,,,
,,,,,3615,predecessor,,,,,,,,
,,,,,3616,engine,,,,,,,,
,,,,,3617,christeningDate,,,,,,,,
,,,,,3618,maidenVoyage,,,,,,,,
,,,,,3619,launchSite,,,,,,,,
,,,,,3620,layout,,,,,,,,
,,,,,3621,relatedMeanOfTransportation,,,,,,,,
,,,,,3622,transmission,,,,,,,,
,,,,,3623,assembly,,,,,,,,
,,,,,3624,builder,,,,,,,,
,,,,,3625,shipBeam,,,,,,,,
,,,,,3626,topSpeed,,,,,,,,
,,,,,3627,modelStartYear,,,,,,,,
,,,,,3628,shipDraft,,,,,,,,
,,,,,3629,finalFlight,,,,,,,,
,,,,,3630,maidenFlight,,,,,,,,
,,,,,3631,bodyStyle,,,,,,,,
,,,,,3632,formerTeam,,,,,,,,
,,,,,3633,position,,,,,,,,
,,,,,3634,generalManager,,,,,,,,
,,,,,3635,coach,,,,,,,,
,,,,,3636,activeYearsStartYear,,,,,,,,
,,,,,3637,associatedBand_associatedMusicalArtist,,,,,,,,
,,,,,3638,recordLabel,,,,,,,,
,,,,,3639,background,,,,,,,,
,,,,,3640,musicSubgenre,,,,,,,,
,,,,,3641,stylisticOrigin,,,,,,,,
,,,,,3642,distributingCompany,,,,,,,,
,,,,,3643,density,,,,,,,,
,,,,,3644,absoluteMagnitude,,,,,,,,
,,,,,3645,apoapsis,,,,,,,,
,,,,,3646,epoch,,,,,,,,
,,,,,3647,escapeVelocity,,,,,,,,
,,,,,3648,maximumTemperature,,,,,,,,
,,,,,3649,mass,,,,,,,,
,,,,,3650,averageSpeed,,,,,,,,
,,,,,3651,orbitalPeriod,,,,,,,,
,,,,,3652,rotationPeriod,,,,,,,,
,,,,,3653,periapsis,,,,,,,,
,,,,,3654,temperature,,,,,,,,
,,,,,3655,hasDeputy,,,,,,,,
,,,,,3656,unit,,,,,,,,
,,,,,3657,deathYear,,,,,,,,
,,,,,3658,draftPick,,,,,,,,
,,,,,3659,birthYear,,,,,,,,
,,,,,3660,origin,,,,,,,,
,,,,,3661,musicFusionGenre,,,,,,,,
,,,,,3662,minimumTemperature,,,,,,,,
,,,,,3663,deathCause,,,,,,,,
,,,,,3664,shipClass,,,,,,,,
,,,,,3665,length,,,,,,,,
,,,,,3666,shipOrdered,,,,,,,,
,,,,,3667,powerType,,,,,,,,
,,,,,3668,diameter,,,,,,,,
,,,,,3669,rocketStages,,,,,,,,
,,,,,3670,modelYears,,,,,,,,
,,,,,3671,comparable,,,,,,,,
,,,,,3672,colour,,,,,,,,color
,,,,,3673,dateOfDeath,,,,,,,,deathDate
,,,,,3674,surfaceArea,,,,,,,,
,,,,,3675,derivative,,,,,,,,
,,,,,3676,shipDisplacement,,,,,,,,
,,,,,3677,shipInService,,,,,,,,
,,,,,3678,countryOrigin,,,,,,,,
,,,,,3679,totalLaunches,,,,,,,,
,,,,,3680,productionEndYear,,,,,,,,
,,,,,3681,wheelbase,,,,,,,,
,,,,,3682,width,,,,,,,,
,,,,,3683,shipLaunch,,,,,,,,
,,,,,3684,fate,,,,,,,,
,,,,,3685,function,,,,,,,,
,,,,,3686,site,,,,,,,,
,,,,,3687,locationCountry,,,,,,,,
,,,,,3688,draftRound,,,,,,,,
,,,,,3689,debutTeam,,,,,,,,
,,,,,3690,draftTeam,,,,,,,,
,,,,,3691,weight,,,,,,,,
,,,,,3692,meanTemperature,,,,,,,,
,,,,,3693,doctoralStudent,,,,,,,,
,,,,,3694,discovered,,,,,,,,
,,,,,3695,buildDate,,,,,,,,
,,,,,3696,cylinderCount,,,,,,,,
,,,,,3697,bandMember,,,,,,,,
,,,,,3698,activeYearsEndYear,,,,,,,,
,,,,,3699,inOfficeWhileMonarch,,,,,,,,
,,,,,3700,garrison,,,,,,,,
,,,,,3701,inOfficeWhilePresident,,,,,,,,
,,,,,3702,associatedRocket,,,,,,,,
,,,,,3703,currentclub,,,,,,,,
,,,,,3704,stateOfOrigin,,,,,,,,
